label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Văn phòng,laptop-lenovo-thinkpad-t14-gen-2,Laptop Lenovo Thinkpad T14 gen 2,15000000,90,68,lenovo,thinkpad,3.2,"Sở hữu thiết kế sang trọng, thích hợp mang theo bên mình Trang bị CPU i7 1165G7 mạnh mẽ, xử lý tốt các tác vụ văn phòng Ổ cứng SSD dung lượng 2TB giúp bạn lưu trữ dữ liệu tốt Trang bị nhiều cổng kết nối giuaps quá trình nhận, xuất dữ liệu trở nên dễ dàng Màn hình 14 inch cùng độ sáng tối đa 500nits giúp bạn tận hưởng hình ảnh trở nên tốt hơn",Đen,2024,Nhật Bản,Intel UHD tích hợpIntel Iris Xe Graphics,"Intel Core i7 1165G7 2.80 GHz (up to 4.70 GHz, 4 nhân/ 8 lòi, 12 MB cache)",32GB,DDR4 3200MHz,32GB DDR4 3200MHz,"SSD PCIe 2TB (512 GB SSD NVMe PCIe, Nâng cấp tối đa 2 TB)",SSDGB,,Tấm nền IPS,14 inches,Độ sáng 500Nits  PrivacyGuard Cảm ứng On-Cell,1920 x 1080 pixels (FullHD),Hệ thống loa Audio Micrô trường xa đôi,,17.9 x 329 x 227mm (Dài x Rộng x Cao),1.47 kg,"Wi-Fi 6, Bảo mật vân tay",,Màn trập bảo mật webcam Bảo vệ quyền riêng tư Trusted Platform Module rời (dTPM) 2.0 Đầu đọc vân tay cảm ứng Khe khóa Kensington,720p HD,Windows 11 Pro,,Wifi 6E,Có,2 x USB-A 3.1 Gen 1 (1 luôn bật) 2 x USB-C Thunderbolt 3 1 x Đầu đọc thẻ MicroSD 1 x Đầu đọc thẻ thông minh 1 x Tai nghe/micrô kết hợp 1 x HDMI 2.0 1 x RJ45 (Optional)
Văn phòng,laptop-lenovo-thinkpad-x1-carbon-gen-6,Laptop Lenovo Thinkpad X1 Carbon gen 6,20000000,41,4,lenovo,thinkpad,4.2,"May có thiết kế mỏng, trọng lượng nhẹ chỉ 1.13 kg giúp bạn không cảm giác quá nặng trong quá trình di chuyển Màn hình 14 inch phù hợp cho nhu cầu làm việc và giải trí CPU i7 8550U mạnh mẽ, thích hợp giải quyết các tác vụ văn phòng RAM 256GB kết hợp cùng ổ cứng SSD giúp bạn mở các tab một cách nhanh chóng không bị lag máy",Đen,2023,Đài Loan,Intel UHD 620,"Intel Core i7 8550U 1.8GHz (4 nhân / 8 lõi, up to 4GHz, 8MB cache)",16GB,LPDDR3 2133MHz,16GB LPDDR3 2133MHz 1 thanh RAM 16GB,256GB SSD,256GB,60 Hz,Tấm nền IPS,14 inches,Độ sáng tối đa 300 nits Độ phủ màu 90% sRGB,1920 x 1080 pixels (FullHD),,,32.3 x 21.7 x 15.9 mm (Dài x Rộng x Cao),1.13 kg,,,,HD Webcam,Windows 10 Pro,57WHr Li-ion,Wi-Fi 802.11ac,v5.0,2 x cổng USB Type A 3.1 Gen 1 2 x cổng USB Type C 1 x HDMI 1 x Jack tai nghe 3.5mm 1 x khe nanoSim  1x micro SD
Văn phòng,laptop-lenovo-thinkpad-x1-carbon-gen-9,Laptop Lenovo Thinkpad X1 Carbon gen 9,15000000,59,52,lenovo,thinkpad,0.0,"Sử dụng CPU i7-1165G7 cùng card đồ họa Intel Iris Xe giúp bạn xử lý hình ảnh tốt, giải quyết ổn thỏa các công việc văn phòng Màn hình 14 inch kết hợp với màn hình chống chói, tính năng giảm ánh sáng xanh giúp bạn vừa bảo vệ mắt vừa có thể trải nghiệm hình ảnh sắc nét RAM 32GB cùng ổ cứng SSD dung lượng 2TB giúp bạn lưu trữ được nhiều dữ liệu cùng chạy ổn thỏa nhiều tab cùng lúc Thiết kế màu đen sang trọng cùng trọng lượng mỏng nhẹ, chỉ 1.13 kg giúp bạn dễ dàng mang theo bên mình",Đen,2021,Đài Loan,Intel Iris Xe,"Intel Core i7-1165G7 (4.70 GHz, 12MB cache), 4 nhân/ 8 luồng",32GB,LPDDR4X 4266MHz,32GB LPDDR4X 4266MHz,SSD PCIe 2TB Gen 4,SSDGB,,Tấm nền IPS,14 inches,Độ sáng tối đa 400 Màn hình chống chói Tính năng giảm ánh sáng xanh Độ phủ màu sRGB 100%,1920 x 1200 pixels (FullHD+),Dolby Atmos,,14.9 x 314.5 x 221.6 mm (Dài x Rộng x Cao),1.13 kg,Wi-Fi 6,Đèn nền LED trắng,Trusted Platform Module rời (dTPM) 2.0 Phát hiện sự hiện diện của người dùng bằng camera hồng ngoại Đầu đọc dấu vân tay Smart Power On tích hợp vào nút nguồn Màn che bảo mật webcam Khe khóa Kensington,HD 720p với màn trập bảo mật cho webcam,Windows 11 Pro,57Whr (MM18),WiFi 6 802.11 AX,Bluetooth 5.2,2 x Thunderbolt 4 2 x USB-A 3.2 Gen 1 1 x Tai nghe/micrô kết hợp 1 x HDMI 2.0 1 x Khe cắm Nano SIM 1 x Khe khóa Kensington
Văn phòng,laptop-dell-xps-13-9350,Laptop Dell XPS 13 9350,15000000,21,56,dell,xps,0.0,"Sở hữu hiết kế siêu mỏng với độ dày chỉ 15 mm cùng kích thước 13.3 inch di động dễ dàng mang theo mọi nơi. Màn hình cảm ứng IPS cùng độ phân giải 3200 x 1800 pixels cho hình ảnh cực nét, chân thực. Cấu hình mạnh mẽ với chip Intel Core i7 và RAM 8 GB giúp máy chạy cùng lúc nhiều chương trình mà vẫn đảm bảo sự mượt mà. Ổ cứng SSD 256 GB có tốc độ truy xuất cao giúp khởi động máy hay sao chép dữ liệu nhanh chóng. Hệ điều hành Windows 10 bản quyền với giao diện đẹp và nhiều tính năng hữu ích.",Bạc,2024,Đài Loan,Intel HD Graphics,"Intel Core i7 - 6500U up to 3.10 GHz, 4 MB cache",8GB,8 GB SDRAM DDR3 1600 MHz,8GB 8 GB SDRAM DDR3 1600 MHz,SSD 256 GB,256GB,,Tấm nền IPS,13.3 inches,InfinityEdge,3200 x 1800 pixels,High definition audio,,304 x 200 x 15 mm,1.27 kg,"Wi-Fi 6, Màn hình cảm ứng",,,HD 720p,Windows 10,4-cell Li-Ion,Wi-Fi 802.11 b/g/n/ac,,USB
Văn phòng,laptop-lg-gram-2024-16z90s-g-ah76a5,Laptop LG Gram 2024 16Z90S-G.AH76A5,44990000,98,59,lg,gram,4.4,"Laptop có thiết kế mỏng nhẹ, lý tưởng cho những người thường xuyên di chuyển. Trang bị bộ vi xử lý Intel U7-155H, 16GB RAM và ổ cứng SSD 512GB PCIe có thể xử lý mượt mà các tác vụ văn phòng, học tập và giải trí nhẹ nhàng. Màn hình 16 inch độ phân giải WQXGA với tấm nền IPS và độ phủ màu DCI-P3 99% mang đến hình ảnh sắc nét, sống động và màu sắc chính xác. Cài đặt sẵn hệ điều hành Windows 11 mới nhất, mang đến trải nghiệm sử dụng hiện đại và hiệu quả.",Xám,2022,Singapore,Intel Arc Graphics,Intel Core Ultra U7-155H,16GB,LPDDR5X 7467MHz Onboard,16GB LPDDR5X 7467MHz Onboard 2 khe (8GB + 8GB),"512GB M.2(2280) Dual SSD slots, Gen 4.0 - trống 1 khe",512GB,60Hz,Tấm nền IPS,16 inches,Tỉ lệ 16:10Độ phủ màu DCI-P3 99% Màn hình chống chóiĐộ sáng 350 nit,2560 x 1600 (WQXGA),Loa Stereo 2.0W x 2 Bộ khuếch đại thông minh (Tối đa 5W)Âm thanh HD với Dolby Atmos,,355.1 x 242.3 x 15.7 mm,1.21 kg,"Wi-Fi 6, Nhận diện khuôn mặt",,"Bảo mật SSD, fTPM/HW TPM (Tùy chọn) Khóa Kensington mỏng",Webcam FHD IR có Mic kép (Nhận diện khuôn mặt),Windows 11 Home,77 Wh Li-Ion,Wi-Fi 6E (802.11ax) - AX211,Bluetooth 5.3,"HDMI (4K@60Hz) 2x USB 3.2 Gen2x1 2x USB 4 Gen3x2 Type C (Sạc, DisplayPort, Thunderbolt 4) 4Pole Headset, US type 10/100 with RJ45 adapter (Option)"
Văn phòng,laptop-hp-pavilion-14-dv2075tu-7c0w2pa,Laptop HP Pavilion 14-DV2075TU 7C0W2PA,15000000,56,40,hp,pavilion,1.6,"Sở hữu hữu thiết kế tối giản với tone màu bạc sang trọng, trọng lượng gọn nhẹ chỉ 1.41 kg dễ dàng meo theo khắp nơi. Màn hình 14 inch cùng tấm nền IPS cho khả năng tái tạo màu sắc chân thực sống động, độ chính xác màu cao cùng với đó là góc nhìn siêu rộng lên tới 178 độ. CPU Intel Core i5-1235U mạnh mẽ, xử lý đa nhiệm các tác vụ văn phòng như Word, Excel, PowerPoint,... Kết hợp với card đồ họa Intel Iris Xe Graphics cho khả năng chỉnh sửa hình ảnh cơ bản hay giải trí, xem phim một cách trơn tru. 8GB RAM cùng ổ cứng SSD 512GB NVMe PCIe cho không gian lưu trữ rộng lớn,... tăng tốc độ khởi động máy, ứng dụng nhanh chóng. Camera với độ phân giải 720p hỗ trợ call video, họp trực tuyến hay học online thêm phần chất lượng hơn.",Bạc,2024,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i5-1235U, 10 lõi / 12 luồng, 4.40 GHz, 12MB",8GB,DDR4 3200MHz,8GB DDR4 3200MHz 2x 4 GB,512 GB PCIe NVMe M.2 SSD,512GB,,Tấm nền IPS,14 inches,BrightView Độ sáng 250 nits  Độ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),2 loa,,32.5 x 21.66 x 1.7 cm (Dài x Rộng x Cao),1.41 kg,Wi-Fi 6,,,HP Wide Vision 720p HD camera,Windows 11 Home 64,"3-cell, 43 Wh Li-ion",MediaTek Wi-Fi 6 MT7921 (2x2),Bluetooth 5.2,"1x USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc) 2x USB Type-A 1x HDMI 2.1 1x Headphone/microphone combo"
Văn phòng,laptop-dell-inspiron-7425,Laptop Dell Inspiron 7425,20000000,79,67,dell,inspiron,3.5,"Sở hữu CPU MD Ryzen 5-5625U giúp bạn giải quyết ổn thỏa các tác vụ văn phòng Màn hình 14 inch cùng độ phân giải Full HD cho phép hiển thị hình ảnh đặc sắc, chân thật Ổ cứng SSD 512GB cùng RAM 8GB cho bạn thỏa thích mở nhiều tab cùng khởi động nhanh máy tính, ứng dụng Màn hình gập kèm tính năng cảm ứng giúp bạn dễ dàng sử dụng, dễ dàng xem những bộ phim mình yêu thích  ",Xám,2022,Nhật Bản,AMD Radeon Graphics,"AMD Ryzen 5-5625U (2.30GHz up to 4.30GHz, 16MB Cache)",8GB,DDR4 3200MHz,8GB DDR4 3200MHz 1 thanh RAM 8GB,512GB M.2 PCIe NVMe SSD,512GB,60Hz,Tấm nền IPS,14 inches,"Độ phủ màu 65,5%sRGB",1920 x 1200 pixels (FullHD+),,,,1.6 kg,"Wi-Fi 6, Bảo mật vân tay",,Bảo mật vân tay,Full HD 30 FPS,Windows 11 Home bản quyền,54WHr 4-Cell,Wi-Fi 6,Bluetooth 5.2,1 x USB Type A  2 x USB Type C display-port 1 x HDMI 1 x Jack cắm tai nghe 3.5mm  1 x Đầu đọc thẻ SD
Văn phòng,laptop-asus-zenbook-17-fold-oled-ux9702aa-md014w,Laptop Asus Zenbook 17 Fold OLED UX9702AA-MD014W,18000000,41,64,asus,zenbook,3.0,"Thiết kế sang trọng với màn hình cảm ứng 17.3 inch, độ phủ màu 100% DCI-P3 cùng độ sáng lên đến 500nits HDR cho hình ảnh sắc nét, màu sắc chân thực với độ chính xác màu cao. CPU Intel Core i7-1250U, card đồ họa Intel Iris Xe Graphics cùng RAM 16 GB và ổ cứng 1TB hỗ trợ nhiều tác vụ từ cơ bản đến nâng cao thỏa sức sáng tạo, lưu trữ nhiều file nặng mà không lo lag, giật. Đa nhiệm với nhiều chế độ sử dụng như: Máy tính xách tay, máy tính để bàn hay sử dụng như một chiếc máy tính bảng. Hỗ trợ bàn phím ảo trên màn hình giúp người dùng thao tác lập tức mà không cần mang theo bàn phím rời. Máy đạt độ bền đạt chuẩn quân đội US MIL-STD 810H bền bỉ với nhiều bài test.",Đen,2022,Nhật Bản,Intel Iris Xe Graphics,"Intel Core i7-1250U 1.1 GHz (12M Cache, up to 4.7 GHz, 2P + 8E cores)",16GB,LPDDR5 Onboard,16GB LPDDR5 Onboard,1TB M.2 NVMe PCIe 4.0 SSD,1TB,,,17.3 inches,1.07 tỷ màu  Hạn chế ánh sáng xanh 70%  Độ phủ màu 100% DCI-P3  Độ sáng 500nits HDR  Tần số quét 60Hz  Thời gian phản hồi 0.2ms  HDR True Black 500,,Công nghệ khuếch đại thông minh Loa tích hợp Micrô mảng tích hợp Harman/kardon (Premium),Vỏ kim loại,37.85 x 28.76 x 0.87 ~ 1.29 cm (W x H x D),1.50 kg,"Wi-Fi 6, Màn hình cảm ứng, Công nghệ Intel Evo",,Trusted Platform Module (Firmware TPM) Trusted Platform Module (TPM),5.0M camera với IR,Windows 11 Home,"75WHrs, 4S1P, 4-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5,1x 3.5mm Combo Audio Jack 2x Thunderbolt 4 (display / sạc)
Văn phòng,laptop-lenovo-thinkpad-t14-gen-3,Laptop Lenovo Thinkpad T14 gen 3,25000000,9,86,lenovo,thinkpad,0.0,"Sở hữu CPU i7 1260P cùng card đồ họa Intel Iris Xe giúp bạ xử lý tốt các công việc văn phòng và xử lý ảnh nhẹ Màn hình 14 inch có độ phân giải WUXGA giúp bạn trải nghiệm hình ảnh chân thật, sắc nét Ổ cứng SSD có dung lượng 2TB, là không gian lưu trữ rộng lớn, không cần copy dữ liệu qua USB Trang bị nhiều cổng kết nối giúp quá trình xuất/nhập dữ liệu trở nên thuận tiện Thiết kế mỏng nhẹ, sang trọng, trọng lượng chỉ 1.36 kg giúp bạn không thấy khó chịu khi mang bên mình",Đen,2022,Đài Loan,Intel Iris Xe Graphics,"i7 1260P 3.4GHz (up to 4.7 GHz, 18MB Cache)",16GB,DDR4 3200Mhz,16GB DDR4 3200Mhz,2TB SSD PCIe Gen 4 (512 GB SSD NVMe PCIe Nâng cấp tối đa 2 TB),2TB,,Tấm nền IPS,14 inches,Màn hình chống chói Độ sáng tối đa 300nits Độ phủ màu 45%,1920 x 1200 pixels (WUXGA),2W x2Dolby Audio,Vỏ kim loại,323.5 x 217.1 x 17.9 mm ( Dài x Rộng x Cao),1.35 kg,"Wi-Fi 6, Bảo mật vân tay",,Bảo mật Intel vPro Đầu đọc dấu vân tay cảm ứng khi bật nguồn Bảo vệ thông tin cá nhân Discrete Trusted Platform Module (dTPM) 2.0 chip Khe khóa Kensington Tile ready,Webcam 1080p FHD RG với màn trập riêng tư,Windows 11,57Wh,Wifi 6E,Bluetooth 5.2,2 x Intel Thunderbolt 4 2 x USB-A 3.2 Thế hệ 1 1 x HDMI2.0b 1 x Combo tai nghe/mic 1 x RJ45 1 x Khe sim
Văn phòng,laptop-surface-pro-9-i7-16gb-256gb,Laptop Surface Pro 9 i7 16GB 256GB,14000000,76,37,microsoft,surface,4.0,Sở hữu thiết kế vô cùng mỏng nhẹ với trọng lượng chỉ 879g dễ dàng mang theo đi bất cứ đâu để làm việc CPU Intel Core i7-1255U cân mọi tác vụ văn phòng từ nặng tới nhẹ RAM lên đến 16GB đa nhiệm không lo các trình duyệt hay tab công việc bị load lại Ổ cứng 256GB có thể tháo ra lắp thanh khác cực tiện lợi khi nâng cấp Màn hình cảm ứng 13 inch cực mướt hỗ trợ thao tác vuốt chạm dễ dàng,Xám,2021,Trung Quốc,Intel Iris Xe,"Intel Core i7-1255U (10 lõi / 12 luồng, 3.50 GHz, Turbo Boost 4.70 GHz, 12 MB)",16GB,LPDDR5x 6400MHz,16GB LPDDR5x 6400MHz,256GB,256GB,120 Hz,,13 inches,Dolby Vision IQ Gorilla Glass 5,2880 x 1920 pixels,Loa kép âm thanh nổi với công nghệ Dolby Atmos,Vỏ kim loại,287 x 209 x 9.3 mm (Dài x Rộng x Cao),879 g,"Wi-Fi 6, Màn hình cảm ứng, Nhận diện khuôn mặt",,,Camera trước 1080p Camera sau 10.0MP hỗ trợ quay video 1080p HD và 4K,Windows 11 Home,Lithium ion 47.7 Wh,Wi-Fi 6E: 802.11ax,Bluetooth Wireless 5.1,2x USB-C với USB 4.0/ Thunderbolt 4 1x Surface Connect  1x Surface Type Cover
